bw_req,latency_req,priority,prb_usage,queue_len,hour_of_day,prb_allocated,expected_latency,sla_ok,type_emergency,type_industry,type_normal
0.638,200,1,43.1,48,5,10,144.4,1,False,False,True
0.401,200,1,94.7,37,5,8,170.77,1,False,False,True
2.338,50,2,83.7,1,2,22,38.85,1,False,True,False
4.741,10,3,49.1,46,19,30,8.25,1,True,False,False
2.183,50,2,82.7,12,22,15,43.06,1,False,True,False
1.62,50,2,72.5,20,7,15,39.58,1,False,True,False
0.635,200,1,69.7,41,8,9,159.78,1,False,False,True
0.509,200,1,92.9,16,1,6,196.48,1,False,False,True
0.474,200,1,60.2,21,23,8,159.4,1,False,False,True
0.625,200,1,47.3,20,0,10,143.99,1,False,False,True
0.518,200,1,71.6,45,4,6,191.78,1,False,False,True
1.921,50,2,52.8,47,6,18,40.07,1,False,True,False
0.502,200,1,54.5,6,12,10,139.42,1,False,False,True
0.446,200,1,78.8,36,7,9,157.68,1,False,False,True
0.637,200,1,59.1,15,1,8,155.91,1,False,False,True
0.618,200,1,82.7,48,22,9,165.33,1,False,False,True
1.856,50,2,93.0,37,10,16,43.23,1,False,True,False
2.529,50,2,89.8,18,2,16,39.01,1,False,True,False
1.71,50,2,72.7,20,14,15,40.27,1,False,True,False
0.579,200,1,43.2,12,17,11,131.33,1,False,False,True
0.571,200,1,88.3,41,21,7,175.99,1,False,False,True
0.591,200,1,49.6,29,0,6,186.68,1,False,False,True
4.536,10,3,44.2,41,11,30,7.43,1,True,False,False
0.646,200,1,62.4,39,9,6,190.27,1,False,False,True
0.496,200,1,93.3,15,9,6,195.71,1,False,False,True
2.433,50,2,80.7,17,20,15,43.18,1,False,True,False
2.023,50,2,77.1,10,23,15,40.76,1,False,True,False
2.062,50,2,54.6,24,16,17,37.3,1,False,True,False
0.587,200,1,64.9,20,11,6,183.89,1,False,False,True
1.953,50,2,48.2,49,16,16,40.13,1,False,True,False
0.418,200,1,85.5,42,1,6,195.73,1,False,False,True
0.603,200,1,90.1,12,22,8,161.52,1,False,False,True
1.733,50,2,41.3,3,0,22,36.47,1,False,True,False
0.424,200,1,73.6,39,13,6,194.58,1,False,False,True
0.423,200,1,77.6,39,8,6,195.99,1,False,False,True
2.573,50,2,42.1,14,3,19,33.26,1,False,True,False
0.461,200,1,78.7,1,9,12,138.22,1,False,False,True
1.868,50,2,88.5,28,7,15,41.1,1,False,True,False
2.234,50,2,60.8,5,1,21,33.68,1,False,True,False
5.996,10,3,88.8,13,23,30,5.93,1,True,False,False
0.523,200,1,62.5,27,19,6,185.86,1,False,False,True
0.532,200,1,65.7,19,5,9,154.07,1,False,False,True
4.437,10,3,69.4,22,9,30,8.21,1,True,False,False
2.251,50,2,48.8,30,20,19,39.0,1,False,True,False
0.485,200,1,80.5,40,20,9,163.58,1,False,False,True
2.34,50,2,54.4,7,16,18,35.14,1,False,True,False
2.548,50,2,52.8,32,15,19,37.5,1,False,True,False
0.451,200,1,52.2,6,14,12,129.78,1,False,False,True
0.599,200,1,51.5,31,1,10,147.01,1,False,False,True
2.307,50,2,81.2,42,13,15,40.24,1,False,True,False
0.579,200,1,59.6,9,4,9,149.28,1,False,False,True
0.449,200,1,78.3,39,13,9,157.44,1,False,False,True
1.951,50,2,87.7,48,10,15,44.55,1,False,True,False
0.564,200,1,43.6,44,15,9,151.03,1,False,False,True
2.244,50,2,83.2,35,2,17,42.89,1,False,True,False
0.544,200,1,90.7,45,20,8,171.49,1,False,False,True
0.434,200,1,63.3,20,8,7,163.03,1,False,False,True
0.406,200,1,92.7,41,5,9,167.4,1,False,False,True
4.499,10,3,43.4,37,20,30,7.66,1,True,False,False
0.642,200,1,72.8,14,5,10,149.13,1,False,False,True
1.638,50,2,62.9,32,16,16,40.95,1,False,True,False
1.697,50,2,47.5,7,17,20,38.21,1,False,True,False
4.134,10,3,68.6,41,13,32,5.51,1,True,False,False
0.512,200,1,56.4,5,16,11,136.95,1,False,False,True
0.552,200,1,94.1,17,11,5,228.67,0,False,False,True
5.081,10,3,86.6,18,18,30,9.6,1,True,False,False
0.531,200,1,61.0,18,15,6,188.17,1,False,False,True
2.344,50,2,82.2,3,18,21,37.58,1,False,True,False
0.425,200,1,93.1,18,2,8,165.25,1,False,False,True
1.811,50,2,73.8,19,23,16,39.23,1,False,True,False
0.583,200,1,54.6,45,1,8,158.83,1,False,False,True
2.212,50,2,48.7,49,9,16,38.2,1,False,True,False
0.478,200,1,69.3,41,9,9,158.5,1,False,False,True
2.209,50,2,63.5,44,22,18,42.02,1,False,True,False
1.83,50,2,40.3,14,7,16,40.4,1,False,True,False
2.459,50,2,44.4,18,9,18,37.89,1,False,True,False
0.469,200,1,80.9,30,17,8,164.44,1,False,False,True
0.504,200,1,46.1,23,9,7,158.89,1,False,False,True
2.473,50,2,89.2,3,7,18,39.37,1,False,True,False
0.642,200,1,43.2,6,15,10,136.9,1,False,False,True
0.401,200,1,53.8,9,10,9,148.98,1,False,False,True
0.637,200,1,87.1,35,14,7,176.13,1,False,False,True
0.443,200,1,84.0,25,19,8,161.68,1,False,False,True
2.546,50,2,92.8,5,9,16,41.89,1,False,True,False
6.132,10,3,58.0,5,19,30,6.64,1,True,False,False
0.623,200,1,49.5,38,22,9,149.19,1,False,False,True
0.498,200,1,94.0,19,16,8,167.73,1,False,False,True
0.512,200,1,93.4,36,13,6,197.07,1,False,False,True
2.359,50,2,72.0,12,7,17,37.45,1,False,True,False
2.171,50,2,54.5,6,4,21,36.08,1,False,True,False
0.612,200,1,67.4,41,6,8,163.9,1,False,False,True
0.464,200,1,72.2,19,16,6,188.83,1,False,False,True
0.456,200,1,71.1,10,10,9,152.96,1,False,False,True
0.648,200,1,45.2,29,21,8,153.02,1,False,False,True
0.517,200,1,89.1,29,9,9,163.82,1,False,False,True
5.757,10,3,42.4,49,2,32,4.77,1,True,False,False
2.442,50,2,66.6,33,5,15,41.58,1,False,True,False
0.448,200,1,40.9,26,11,10,142.12,1,False,False,True
0.636,200,1,74.7,44,19,8,167.15,1,False,False,True
5.436,10,3,79.7,41,1,30,7.07,1,True,False,False
2.09,50,2,84.0,32,7,15,40.04,1,False,True,False
0.433,200,1,77.3,18,15,6,189.2,1,False,False,True
5.498,10,3,93.4,5,1,30,9.58,1,True,False,False
1.689,50,2,89.1,22,14,17,42.36,1,False,True,False
0.455,200,1,44.7,38,1,9,149.89,1,False,False,True
0.489,200,1,95.1,2,1,10,148.87,1,False,False,True
0.537,200,1,82.4,13,11,7,166.3,1,False,False,True
1.982,50,2,75.2,23,21,16,40.94,1,False,True,False
0.592,200,1,46.0,23,7,7,161.12,1,False,False,True
2.395,50,2,42.3,46,14,17,39.36,1,False,True,False
2.558,50,2,73.5,5,18,20,36.06,1,False,True,False
0.619,200,1,83.7,31,5,7,168.93,1,False,False,True
0.597,200,1,70.3,10,17,7,163.21,1,False,False,True
0.517,200,1,89.1,3,4,10,150.6,1,False,False,True
0.619,200,1,92.9,32,15,9,162.48,1,False,False,True
0.587,200,1,51.7,21,18,10,144.9,1,False,False,True
5.604,10,3,76.7,12,13,30,9.52,1,True,False,False
1.888,50,2,58.5,6,5,21,35.37,1,False,True,False
1.856,50,2,77.7,32,9,15,40.16,1,False,True,False
1.716,50,2,51.7,14,4,15,39.39,1,False,True,False
0.487,200,1,89.2,7,8,10,148.99,1,False,False,True
2.34,50,2,64.7,19,15,18,41.46,1,False,True,False
0.445,200,1,77.8,49,3,8,164.5,1,False,False,True
0.525,200,1,60.0,14,16,10,141.05,1,False,False,True
0.556,200,1,63.8,1,23,12,131.93,1,False,False,True
0.635,200,1,71.6,31,10,9,154.3,1,False,False,True
0.481,200,1,51.4,36,20,7,163.65,1,False,False,True
0.648,200,1,45.2,30,21,7,161.03,1,False,False,True
2.434,50,2,60.0,4,4,19,35.17,1,False,True,False
0.542,200,1,82.2,5,17,8,158.31,1,False,False,True
1.99,50,2,74.6,22,17,17,42.85,1,False,True,False
5.942,10,3,53.0,28,15,32,5.6,1,True,False,False
0.41,200,1,55.7,23,12,8,152.94,1,False,False,True
1.652,50,2,64.4,31,2,15,40.94,1,False,True,False
0.425,200,1,68.1,28,7,7,167.25,1,False,False,True
0.636,200,1,55.2,47,9,8,160.9,1,False,False,True
0.428,200,1,75.8,3,18,12,134.94,1,False,False,True
2.476,50,2,66.4,35,5,15,41.74,1,False,True,False
5.471,10,3,59.6,28,12,32,6.52,1,True,False,False
0.641,200,1,59.8,46,5,6,193.3,1,False,False,True
0.646,200,1,73.0,39,6,9,155.42,1,False,False,True
0.494,200,1,91.1,5,18,7,168.61,1,False,False,True
0.485,200,1,54.3,36,22,9,153.11,1,False,False,True
0.451,200,1,93.2,30,6,9,160.07,1,False,False,True
2.163,50,2,46.5,27,12,19,35.86,1,False,True,False
2.204,50,2,86.6,46,17,15,44.96,1,False,True,False
0.623,200,1,76.1,32,6,8,162.57,1,False,False,True
2.04,50,2,80.3,22,20,17,40.64,1,False,True,False
1.824,50,2,88.6,13,8,15,40.09,1,False,True,False
0.566,200,1,52.2,4,13,12,128.18,1,False,False,True
0.429,200,1,41.3,20,9,7,154.24,1,False,False,True
0.577,200,1,43.9,32,7,11,136.5,1,False,False,True
0.638,200,1,93.9,18,2,5,228.76,0,False,False,True
4.327,10,3,76.5,40,1,30,8.62,1,True,False,False
0.458,200,1,42.7,41,1,8,156.11,1,False,False,True
0.437,200,1,83.7,14,13,7,166.48,1,False,False,True
2.289,50,2,92.7,33,16,16,43.33,1,False,True,False
0.478,200,1,50.2,31,15,7,163.36,1,False,False,True
0.528,200,1,81.0,11,19,8,163.5,1,False,False,True
0.637,200,1,48.3,37,0,7,158.92,1,False,False,True
0.468,200,1,74.1,8,22,9,154.93,1,False,False,True
0.588,200,1,73.6,42,17,8,166.32,1,False,False,True
1.972,50,2,53.9,47,5,15,41.74,1,False,True,False
1.854,50,2,47.9,8,17,19,38.12,1,False,True,False
0.508,200,1,92.3,49,13,7,177.29,1,False,False,True
0.457,200,1,51.4,2,16,10,139.31,1,False,False,True
0.572,200,1,56.1,24,3,6,186.87,1,False,False,True
0.647,200,1,63.2,19,20,9,150.2,1,False,False,True
0.648,200,1,65.4,23,19,7,165.35,1,False,False,True
0.481,200,1,71.1,39,23,7,171.14,1,False,False,True
0.413,200,1,88.3,5,6,7,167.53,1,False,False,True
0.5,200,1,46.8,4,5,9,144.46,1,False,False,True
0.422,200,1,78.9,9,10,8,161.3,1,False,False,True
0.533,200,1,80.1,10,0,8,160.5,1,False,False,True
0.608,200,1,60.8,33,3,8,156.17,1,False,False,True
2.075,50,2,51.0,20,8,19,36.94,1,False,True,False
2.417,50,2,68.9,15,1,16,42.66,1,False,True,False
4.247,10,3,46.7,5,1,30,8.15,1,True,False,False
0.539,200,1,80.2,7,23,9,153.39,1,False,False,True
6.066,10,3,55.2,23,6,30,7.06,1,True,False,False
0.646,200,1,45.7,20,13,10,143.0,1,False,False,True
0.617,200,1,53.5,28,8,9,151.25,1,False,False,True
1.632,50,2,47.6,10,15,19,33.75,1,False,True,False
0.454,200,1,96.9,15,12,5,226.17,0,False,False,True
5.525,10,3,81.4,38,12,31,5.81,1,True,False,False
5.045,10,3,55.0,11,23,31,6.87,1,True,False,False
0.486,200,1,62.9,45,19,10,152.06,1,False,False,True
2.289,50,2,95.2,21,15,15,43.47,1,False,True,False
2.147,50,2,43.0,33,17,19,36.06,1,False,True,False
0.621,200,1,78.5,36,14,6,196.38,1,False,False,True
0.44,200,1,59.4,39,22,8,156.93,1,False,False,True
2.531,50,2,60.6,29,19,17,38.93,1,False,True,False
0.601,200,1,85.6,37,16,6,197.53,1,False,False,True
4.045,10,3,52.3,34,17,30,6.93,1,True,False,False
4.842,10,3,54.4,15,15,30,5.77,1,True,False,False
0.424,200,1,46.8,45,1,11,139.54,1,False,False,True
0.613,200,1,91.7,39,19,6,198.36,1,False,False,True
0.425,200,1,44.2,12,0,10,138.06,1,False,False,True
0.527,200,1,93.9,6,16,6,194.58,1,False,False,True
0.57,200,1,74.6,15,4,6,187.74,1,False,False,True
0.523,200,1,58.1,21,8,8,153.65,1,False,False,True
1.685,50,2,42.7,43,9,17,39.58,1,False,True,False
0.447,200,1,90.6,46,6,5,229.9,0,False,False,True
1.887,50,2,84.5,35,17,16,41.25,1,False,True,False
0.524,200,1,68.6,26,6,10,149.47,1,False,False,True
5.659,10,3,63.6,36,23,32,10.52,0,True,False,False
4.802,10,3,67.3,5,19,31,6.17,1,True,False,False
0.438,200,1,79.9,6,22,11,141.62,1,False,False,True
0.609,200,1,94.1,34,12,8,171.05,1,False,False,True
0.488,200,1,49.5,3,20,11,135.01,1,False,False,True
0.46,200,1,51.8,25,2,7,161.74,1,False,False,True
1.893,50,2,86.7,25,3,15,40.45,1,False,True,False
1.671,50,2,83.4,32,0,16,41.89,1,False,True,False
2.184,50,2,56.0,16,22,16,40.53,1,False,True,False
0.406,200,1,88.8,38,12,6,196.98,1,False,False,True
0.647,200,1,86.8,43,13,6,195.57,1,False,False,True
0.488,200,1,63.0,10,18,11,135.49,1,False,False,True
1.775,50,2,90.7,29,16,15,42.99,1,False,True,False
0.603,200,1,61.7,31,20,9,154.06,1,False,False,True
0.599,200,1,84.6,26,5,7,171.75,1,False,False,True
0.638,200,1,44.4,14,16,11,131.13,1,False,False,True
0.458,200,1,91.6,34,13,7,174.98,1,False,False,True
0.534,200,1,52.4,2,1,10,137.17,1,False,False,True
2.349,50,2,56.1,25,5,15,41.99,1,False,True,False
1.698,50,2,65.5,26,4,17,41.51,1,False,True,False
0.632,200,1,54.9,39,18,9,150.92,1,False,False,True
6.425,10,3,71.4,35,16,30,7.09,1,True,False,False
1.748,50,2,76.3,4,17,17,40.18,1,False,True,False
6.141,10,3,46.7,14,1,30,5.68,1,True,False,False
5.007,10,3,44.3,34,20,32,9.05,1,True,False,False
0.441,200,1,82.9,28,2,8,165.19,1,False,False,True
0.542,200,1,63.4,27,9,6,185.38,1,False,False,True
0.578,200,1,51.9,21,20,7,159.47,1,False,False,True
5.771,10,3,75.5,29,23,32,6.62,1,True,False,False
0.481,200,1,65.0,1,5,11,139.81,1,False,False,True
0.41,200,1,49.2,15,17,6,181.29,1,False,False,True
2.458,50,2,82.0,1,0,18,39.25,1,False,True,False
0.603,200,1,87.8,6,1,7,167.64,1,False,False,True
1.674,50,2,86.5,43,18,15,44.44,1,False,True,False
0.464,200,1,43.0,15,16,9,141.52,1,False,False,True
0.428,200,1,53.7,48,18,7,163.88,1,False,False,True
4.106,10,3,49.1,22,11,32,7.77,1,True,False,False
2.315,50,2,81.5,37,23,16,44.52,1,False,True,False
0.545,200,1,64.5,44,8,10,153.08,1,False,False,True
0.568,200,1,81.8,3,0,10,149.55,1,False,False,True
0.417,200,1,78.4,4,16,7,163.06,1,False,False,True
0.469,200,1,78.0,29,3,9,159.13,1,False,False,True
1.652,50,2,41.7,6,22,23,31.06,1,False,True,False
4.601,10,3,69.4,40,20,31,8.38,1,True,False,False
0.423,200,1,64.5,27,3,10,149.44,1,False,False,True
4.327,10,3,53.8,46,6,30,9.59,1,True,False,False
0.515,200,1,96.9,10,6,6,196.63,1,False,False,True
0.559,200,1,88.1,13,7,6,192.93,1,False,False,True
0.622,200,1,78.2,48,7,7,175.48,1,False,False,True
2.414,50,2,57.9,8,15,21,37.29,1,False,True,False
0.541,200,1,46.8,40,13,10,146.65,1,False,False,True
0.468,200,1,75.7,1,1,12,134.85,1,False,False,True
0.647,200,1,74.3,24,22,9,156.43,1,False,False,True
0.557,200,1,96.3,3,16,11,146.44,1,False,False,True
1.633,50,2,53.7,1,0,21,32.91,1,False,True,False
0.43,200,1,79.9,4,12,10,144.63,1,False,False,True
0.58,200,1,46.3,33,19,10,143.0,1,False,False,True
2.245,50,2,74.2,24,14,15,39.51,1,False,True,False
5.248,10,3,59.2,13,2,31,9.91,1,True,False,False
2.292,50,2,46.9,24,10,16,39.21,1,False,True,False
4.24,10,3,62.9,19,18,30,9.41,1,True,False,False
5.195,10,3,64.5,30,13,31,9.93,1,True,False,False
0.58,200,1,90.4,18,11,7,172.96,1,False,False,True
6.494,10,3,53.9,34,5,32,5.18,1,True,False,False
2.579,50,2,56.9,42,16,15,42.51,1,False,True,False
0.541,200,1,44.4,7,12,11,129.98,1,False,False,True
5.981,10,3,63.7,31,9,30,5.41,1,True,False,False
0.432,200,1,53.7,20,6,6,182.45,1,False,False,True
1.872,50,2,71.3,22,17,17,37.23,1,False,True,False
1.718,50,2,88.1,3,3,20,35.95,1,False,True,False
0.576,200,1,60.5,12,4,11,135.52,1,False,False,True
0.547,200,1,91.2,21,23,8,168.11,1,False,False,True
0.425,200,1,54.7,10,16,7,159.49,1,False,False,True
0.618,200,1,61.3,11,16,10,142.86,1,False,False,True
0.407,200,1,79.6,21,8,8,160.22,1,False,False,True
1.604,50,2,70.3,8,21,20,36.91,1,False,True,False
2.568,50,2,81.3,9,6,18,42.23,1,False,True,False
0.425,200,1,48.9,34,12,7,164.1,1,False,False,True
0.479,200,1,77.3,39,2,9,160.88,1,False,False,True
0.421,200,1,46.1,41,14,8,158.53,1,False,False,True
0.512,200,1,95.8,43,0,5,235.43,0,False,False,True
1.811,50,2,75.6,23,10,17,38.53,1,False,True,False
0.418,200,1,62.8,18,15,10,148.14,1,False,False,True
2.039,50,2,43.4,2,10,24,30.87,1,False,True,False
0.639,200,1,41.7,44,14,11,140.71,1,False,False,True
0.536,200,1,53.6,3,22,10,137.72,1,False,False,True
0.561,200,1,66.1,43,10,8,163.38,1,False,False,True
0.583,200,1,96.6,3,9,11,144.37,1,False,False,True
0.56,200,1,69.8,10,19,7,163.0,1,False,False,True
2.004,50,2,63.0,36,5,15,39.8,1,False,True,False
0.452,200,1,47.1,49,17,9,151.49,1,False,False,True
0.644,200,1,89.2,33,5,6,194.1,1,False,False,True
0.504,200,1,54.0,9,2,11,136.49,1,False,False,True
2.262,50,2,65.2,13,7,15,41.06,1,False,True,False
0.538,200,1,59.8,24,1,8,155.76,1,False,False,True
2.227,50,2,72.3,10,20,19,36.89,1,False,True,False
4.611,10,3,47.8,35,17,32,5.63,1,True,False,False
0.444,200,1,89.8,36,20,6,196.05,1,False,False,True
6.449,10,3,85.4,15,1,31,10.05,0,True,False,False
2.038,50,2,95.2,32,19,16,41.68,1,False,True,False
0.605,200,1,96.7,45,9,6,200.89,0,False,False,True
0.609,200,1,90.0,11,5,9,158.34,1,False,False,True
0.643,200,1,58.7,35,19,8,161.83,1,False,False,True
0.568,200,1,66.4,34,21,9,154.2,1,False,False,True
0.458,200,1,90.1,38,10,7,176.21,1,False,False,True
2.208,50,2,45.8,3,8,25,32.44,1,False,True,False
2.052,50,2,84.1,21,0,15,43.25,1,False,True,False
0.407,200,1,40.8,17,8,7,155.18,1,False,False,True
0.631,200,1,44.2,27,7,7,157.6,1,False,False,True
0.53,200,1,84.6,22,17,6,192.37,1,False,False,True
0.557,200,1,71.2,44,13,10,153.69,1,False,False,True
4.942,10,3,40.1,25,5,30,6.64,1,True,False,False
0.62,200,1,42.2,48,8,8,154.65,1,False,False,True
5.062,10,3,62.3,1,7,31,9.54,1,True,False,False
0.53,200,1,74.4,37,16,7,171.0,1,False,False,True
0.576,200,1,75.0,41,22,9,159.83,1,False,False,True
0.458,200,1,93.7,49,12,8,174.31,1,False,False,True
2.513,50,2,88.3,37,12,15,46.29,1,False,True,False
2.103,50,2,50.0,5,20,20,32.74,1,False,True,False
2.498,50,2,73.1,32,18,16,42.73,1,False,True,False
0.466,200,1,75.4,9,9,11,139.33,1,False,False,True
0.401,200,1,78.6,30,5,5,225.38,0,False,False,True
1.7,50,2,59.2,17,15,17,36.45,1,False,True,False
5.376,10,3,55.5,12,18,31,6.41,1,True,False,False
0.417,200,1,41.9,4,13,13,118.09,1,False,False,True
6.48,10,3,45.9,36,15,30,5.45,1,True,False,False
0.62,200,1,69.1,1,6,9,146.56,1,False,False,True
0.594,200,1,77.1,1,6,12,134.97,1,False,False,True
5.994,10,3,74.0,30,21,31,8.13,1,True,False,False
6.059,10,3,96.0,15,9,30,5.79,1,True,False,False
0.594,200,1,61.2,1,9,10,143.16,1,False,False,True
2.248,50,2,72.5,26,8,17,43.17,1,False,True,False
1.641,50,2,44.4,14,0,16,39.39,1,False,True,False
0.497,200,1,67.8,15,2,9,152.79,1,False,False,True
0.646,200,1,52.2,10,5,7,156.69,1,False,False,True
0.495,200,1,90.6,10,20,7,167.44,1,False,False,True
0.645,200,1,80.0,27,17,7,166.97,1,False,False,True
1.983,50,2,93.8,48,14,15,44.25,1,False,True,False
6.473,10,3,90.7,41,3,32,9.53,1,True,False,False
0.554,200,1,78.7,22,13,9,156.35,1,False,False,True
0.403,200,1,62.8,10,4,8,154.72,1,False,False,True
0.642,200,1,48.0,8,22,11,131.78,1,False,False,True
0.545,200,1,79.9,29,22,5,228.68,0,False,False,True
2.482,50,2,94.5,7,18,17,43.09,1,False,True,False
0.502,200,1,79.5,19,12,5,222.75,0,False,False,True
6.115,10,3,93.9,33,4,30,5.65,1,True,False,False
0.629,200,1,91.8,19,21,5,226.3,0,False,False,True
5.343,10,3,52.1,19,5,30,5.44,1,True,False,False
2.064,50,2,84.2,41,19,16,41.66,1,False,True,False
1.678,50,2,68.4,34,23,15,40.96,1,False,True,False
0.47,200,1,87.9,21,4,9,161.85,1,False,False,True
